
2025/03/14 (10:30:05) | ===> btop++ v.1.4.0
2025/03/14 (10:30:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (10:30:39) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (10:38:00) | ===> btop++ v.1.4.0
2025/03/14 (10:38:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (14:46:02) | WARNING: Failed to join _runner thread on exit!

2025/03/14 (14:46:05) | ===> btop++ v.1.4.0
2025/03/14 (14:46:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (18:34:33) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (07:41:31) | ===> btop++ v.1.4.0
2025/03/15 (07:41:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (13:41:41) | ===> btop++ v.1.4.0
2025/03/15 (13:41:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (14:41:59) | ===> btop++ v.1.4.0
2025/03/16 (14:41:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (18:24:53) | ===> btop++ v.1.4.0
2025/03/16 (18:24:53) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/16 (18:29:07) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (07:18:50) | ===> btop++ v.1.4.0
2025/03/18 (07:18:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (07:19:24) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (08:40:27) | ===> btop++ v.1.4.0
2025/03/18 (08:40:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (08:41:17) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (15:53:13) | ===> btop++ v.1.4.0
2025/03/18 (15:53:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (16:05:05) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (21:16:19) | ===> btop++ v.1.4.0
2025/03/18 (21:16:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (03:30:33) | ===> btop++ v.1.4.0
2025/03/19 (03:30:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (03:31:31) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (05:16:02) | ===> btop++ v.1.4.0
2025/03/19 (05:16:02) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (05:16:37) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (05:16:40) | ===> btop++ v.1.4.0
2025/03/19 (05:16:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (05:17:15) | ===> btop++ v.1.4.0
2025/03/19 (05:17:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (08:37:35) | ===> btop++ v.1.4.0
2025/03/19 (08:37:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (08:42:34) | ===> btop++ v.1.4.0
2025/03/19 (08:42:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (10:02:34) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (10:19:13) | ===> btop++ v.1.4.0
2025/03/19 (10:19:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (06:29:07) | ===> btop++ v.1.4.0
2025/03/20 (06:29:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (08:41:21) | ===> btop++ v.1.4.0
2025/03/20 (08:41:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (10:03:41) | ===> btop++ v.1.4.0
2025/03/21 (10:03:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (00:55:31) | ===> btop++ v.1.4.0
2025/03/22 (00:55:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (00:57:09) | WARNING: Failed to join _runner thread on exit!

